Respondent ID,Collector ID,Start_Date,End_Date,Consent,Age,Gender,Continent,Highest_Education,SES,Social_media_used_most,Hours_use,Seen_vaccines_post,SM_influence,Trust_most,MMR_autism,Disease_rare,Parents_decide,Neurological_problems,Handle_multiple,CDC_not_trustworthy,Follow_recommendation,Vaccine_risk,Measles_efficacy,Avoid_death,Data_publicity,Protect_immunocompromised
10220390283,216384412,9/16/18 16:41,9/16/18 16:43,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, Other",Master's Degree,Middle Class,Facebook,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10220118457,214745505,9/16/18 10:05,9/16/18 10:10,"I agree to consent, data use, and terms listed above.",45-54,Female,Europe,Bachelor Degree (4 year college/university degree),Middle Class,Twitter,3-4,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10219299914,215297112,9/15/18 10:28,9/15/18 10:32,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,0-2,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is true,I am unsure,I am unsure,I believe this is true,I am unsure,I believe this is true
10214218246,215297112,9/12/18 22:17,9/12/18 22:21,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,3-4,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I am unsure,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10211997660,214745505,9/12/18 3:27,9/12/18 3:29,"I agree to consent, data use, and terms listed above.",25-34,Female,Europe,"Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Facebook,0-2,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10211123318,215297112,9/11/18 16:27,9/11/18 16:30,"I agree to consent, data use, and terms listed above.",25-34,Female,Europe,Bachelor Degree (4 year college/university degree),Middle Class,Facebook,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10208811903,215297112,9/10/18 17:46,9/10/18 17:48,"I agree to consent, data use, and terms listed above.",55-64,Female,"North America, United States",Master's Degree,Upper Class,Twitter,5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10208220194,215297112,9/10/18 12:55,9/10/18 12:57,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10207637891,215297112,9/10/18 9:04,9/10/18 9:07,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Upper Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10205887918,215297112,9/9/18 8:55,9/9/18 8:59,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Associates Degree (2 year college/university degree),Upper Class,Facebook,0-2,Yes,Influenced my opinion on vaccines (vaccines are worse then I thought previously),Internet,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true
10205588299,215297112,9/9/18 1:53,9/9/18 1:55,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10204963663,215297112,9/8/18 12:36,9/8/18 12:39,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Facebook,3-4,Yes,Influenced my opinion on vaccines (vaccines are worse then I thought previously),Internet,I am unsure,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is NOT true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10204503916,215297112,9/8/18 6:54,9/8/18 6:56,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Lower Class,Instagram,0-2,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10203188279,215297112,9/7/18 13:14,9/7/18 13:16,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States",High school (grade level 9-12/13),Middle Class,Facebook,0-2,Yes,Influenced my opinion on vaccines (vaccines are worse then I thought previously),Peers/Friends,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true
10202037478,215297112,9/7/18 2:00,9/7/18 2:02,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States",Master's Degree,Middle Class,Instagram,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10201944795,215297112,9/7/18 0:18,9/7/18 0:20,"I agree to consent, data use, and terms listed above.",25-34,Male,Australia/ Oceania,Bachelor Degree (4 year college/university degree),Middle Class,Twitter,0-2,No,I have not seen anything about vaccines on social media,The government,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10201719084,215297112,9/6/18 20:32,9/6/18 20:35,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Upper Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10201691471,216384412,9/6/18 20:10,9/6/18 20:13,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, Other",Bachelor Degree (4 year college/university degree),Middle Class,Instagram,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10201242094,215297112,9/6/18 15:09,9/6/18 15:23,"I agree to consent, data use, and terms listed above.",45-54,Male,"North America, Other",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is true
10200759117,215297112,9/6/18 12:01,9/6/18 12:03,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Upper Class,Facebook,0-2,No,I have not seen anything about vaccines on social media,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I am unsure,I am unsure,I am unsure,I believe this is true
10199570577,215297112,9/6/18 1:16,9/6/18 1:19,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Instagram,5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10199324400,215297112,9/5/18 21:08,9/5/18 21:11,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Facebook,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10199322801,215297112,9/5/18 21:07,9/5/18 21:10,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Associates Degree (2 year college/university degree),Middle Class,Instagram,5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is NOT true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is NOT true,I believe this is true,I am unsure
10199304389,215297112,9/5/18 20:53,9/5/18 20:55,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10199220690,215297112,9/5/18 19:51,9/5/18 19:55,"I agree to consent, data use, and terms listed above.",55-64,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,3-4,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10198569241,215297112,9/5/18 13:43,9/5/18 13:46,"I agree to consent, data use, and terms listed above.",25-34,Male,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10198510008,215297112,9/5/18 13:17,9/5/18 13:21,"I agree to consent, data use, and terms listed above.",45-54,Male,"North America, United States",Associates Degree (2 year college/university degree),Middle Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is true,I am unsure,I believe this is true,I am unsure,I am unsure,I believe this is true
10198302002,215297112,9/5/18 11:45,9/5/18 11:47,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Upper Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10198230676,215297112,9/5/18 11:15,9/5/18 11:17,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10197580889,215297112,9/5/18 6:19,9/5/18 6:23,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10197573698,214745505,9/5/18 6:14,9/5/18 6:16,"I agree to consent, data use, and terms listed above.",25-34,Female,Europe,"Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10197561137,215297112,9/5/18 6:05,9/5/18 6:07,"I agree to consent, data use, and terms listed above.",25-34,Male,Africa,High school (grade level 9-12/13),Middle Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10197020912,215297112,9/4/18 21:42,9/4/18 21:44,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10197017555,215297112,9/4/18 21:39,9/4/18 21:41,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, Other","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196933018,215297112,9/4/18 20:32,9/4/18 20:38,"I agree to consent, data use, and terms listed above.",18-24,Male,Africa,High school (grade level 9-12/13),Middle Class,Facebook,3-4,No,I have not seen anything about vaccines on social media,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10196891692,215297112,9/4/18 20:02,9/4/18 20:05,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Instagram,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196850588,215297112,9/4/18 19:33,9/4/18 19:35,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Upper Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196810731,215297112,9/4/18 19:05,9/4/18 19:09,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, United States",Associates Degree (2 year college/university degree),Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196790112,215297112,9/4/18 18:51,9/4/18 18:54,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196782617,215297112,9/4/18 18:46,9/4/18 18:49,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, United States",High school (grade level 9-12/13),Middle Class,Twitter,5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196781770,215297112,9/4/18 18:46,9/4/18 18:47,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",High school (grade level 9-12/13),Middle Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196766433,215297112,9/4/18 18:35,9/4/18 18:37,"I agree to consent, data use, and terms listed above.",35-44,Female,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10196749515,215297112,9/4/18 18:23,9/4/18 18:28,"I agree to consent, data use, and terms listed above.",18-24,Female,Europe,Associates Degree (2 year college/university degree),Middle Class,Instagram,5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196743960,215297112,9/4/18 18:20,9/4/18 18:22,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Associates Degree (2 year college/university degree),Middle Class,Twitter,5-6,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),The government,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196707557,215297112,9/4/18 17:55,9/4/18 17:59,"I agree to consent, data use, and terms listed above.",18-24,Male,Africa,"Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true,I believe this is true
10196701577,215297112,9/4/18 17:52,9/4/18 17:55,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",High school (grade level 9-12/13),Middle Class,Other (please specify),5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196697126,215297112,9/4/18 17:49,9/4/18 17:51,"I agree to consent, data use, and terms listed above.",25-34,Male,Africa,High school (grade level 9-12/13),Middle Class,Instagram,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196679378,215297112,9/4/18 17:38,9/4/18 17:40,"I agree to consent, data use, and terms listed above.",55-64,Female,"North America, United States",Master's Degree,Middle Class,Facebook,0-2,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10196679319,215297112,9/4/18 17:38,9/4/18 17:40,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, United States",Master's Degree,Middle Class,Facebook,3-4,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10196664671,215297112,9/4/18 17:25,9/4/18 17:31,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Upper Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is true,I am unsure,I believe this is true,I am unsure,I am unsure,I believe this is true
10196654575,215297112,9/4/18 17:23,9/4/18 17:26,"I agree to consent, data use, and terms listed above.",55-64,Male,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
